"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2025","151.510","151.190","151.890","151.165","","0.21%"
"09/26/2025","151.190","150.730","151.310","150.545","","0.31%"
"09/25/2025","150.730","151.605","152.035","150.460","","-0.58%"
"09/24/2025","151.605","152.590","152.655","151.465","","-0.65%"
"09/23/2025","152.600","152.490","152.820","152.015","","0.06%"
"09/22/2025","152.505","151.755","152.515","151.500","","0.49%"
"09/19/2025","151.755","152.295","152.395","151.540","","-0.35%"
"09/18/2025","152.295","152.615","153.025","151.820","","-0.22%"
"09/17/2025","152.625","153.265","154.000","152.555","","-0.42%"
"09/16/2025","153.265","151.990","153.420","151.900","","0.87%"
"09/15/2025","151.950","151.605","152.130","151.295","","0.23%"
"09/12/2025","151.605","151.600","151.800","151.040","","0.00%"
"09/11/2025","151.600","151.100","151.770","150.690","","0.33%"
"09/10/2025","151.100","151.275","151.575","150.875","","-0.11%"
"09/09/2025","151.270","151.920","152.205","151.205","","-0.43%"
"09/08/2025","151.930","151.410","151.955","151.190","","0.34%"
"09/05/2025","151.410","150.440","151.950","150.405","","0.64%"
"09/04/2025","150.440","150.660","150.920","150.200","","-0.15%"
"09/03/2025","150.670","150.390","150.950","149.910","","0.18%"
"09/02/2025","150.400","151.310","151.410","149.885","","-0.60%"
"09/01/2025","151.310","150.980","151.850","150.970","","0.22%"
"08/29/2025","150.980","150.940","151.285","150.325","","0.03%"
"08/28/2025","150.940","150.370","151.145","150.180","","0.38%"
"08/27/2025","150.370","150.425","150.500","149.400","","-0.03%"
"08/26/2025","150.415","150.125","150.800","149.820","","0.20%"
"08/25/2025","150.110","151.375","151.570","149.895","","-0.84%"
"08/22/2025","151.375","149.945","151.725","149.520","","0.96%"
"08/21/2025","149.940","150.555","150.795","149.870","","-0.40%"
"08/20/2025","150.540","150.470","150.825","150.085","","0.03%"
"08/19/2025","150.490","150.660","151.245","150.370","","-0.11%"
"08/18/2025","150.655","151.085","151.580","150.485","","-0.32%"
"08/15/2025","151.140","150.505","151.365","150.460","","0.43%"
"08/14/2025","150.490","151.235","151.370","150.275","","-0.50%"
"08/13/2025","151.240","150.830","151.560","150.645","","0.28%"
"08/12/2025","150.820","150.070","151.140","149.845","","0.50%"
"08/11/2025","150.070","150.410","151.000","149.745","","-0.21%"
"08/08/2025","150.385","151.070","151.255","150.155","","-0.45%"
"08/07/2025","151.070","150.640","151.180","150.305","","0.29%"
"08/06/2025","150.640","149.525","150.765","149.405","","0.73%"
"08/05/2025","149.555","149.495","149.720","148.875","","0.04%"
"08/04/2025","149.495","149.595","149.835","149.210","","-0.13%"
"08/01/2025","149.685","147.480","149.840","147.165","","1.49%"
"07/31/2025","147.485","147.335","148.095","147.330","","0.08%"
"07/30/2025","147.360","149.185","149.540","147.295","","-1.22%"
"07/29/2025","149.175","149.740","149.985","148.805","","-0.37%"
"07/28/2025","149.730","151.780","152.105","149.675","","-1.31%"
"07/25/2025","151.710","151.790","151.975","151.155","","-0.05%"
"07/24/2025","151.790","152.095","152.330","151.550","","-0.20%"
"07/23/2025","152.095","151.860","152.155","151.295","","0.15%"
"07/22/2025","151.865","151.110","151.950","150.760","","0.50%"
"07/21/2025","151.110","150.220","151.400","150.060","","0.60%"
"07/18/2025","150.205","149.815","150.810","149.755","","0.25%"
"07/17/2025","149.825","150.460","150.560","149.290","","-0.37%"
"07/16/2025","150.385","149.875","151.510","149.440","","0.33%"
"07/15/2025","149.885","150.735","151.110","149.770","","-0.54%"
"07/14/2025","150.705","150.615","151.140","150.505","","-0.22%"
"07/11/2025","151.035","151.175","151.485","150.560","","-0.09%"
"07/10/2025","151.170","151.385","151.810","150.675","","-0.17%"
"07/09/2025","151.435","151.495","151.635","151.090","","-0.03%"
"07/08/2025","151.485","151.290","152.070","150.940","","0.14%"
"07/07/2025","151.275","152.175","152.340","150.995","","-0.60%"
"07/04/2025","152.185","151.900","152.335","151.850","","0.19%"
"07/03/2025","151.895","152.435","152.660","151.395","","-0.35%"
"07/02/2025","152.435","152.595","152.655","151.765","","-0.10%"
"07/01/2025","152.595","152.345","152.905","151.795","","0.16%"
"06/30/2025","152.355","151.410","152.375","151.200","","0.57%"
"06/27/2025","151.485","151.175","152.060","150.970","","0.17%"
"06/26/2025","151.230","150.695","151.890","150.625","","0.35%"
"06/25/2025","150.700","149.995","150.775","149.745","","0.47%"
"06/24/2025","149.995","149.575","150.415","149.535","","0.28%"
"06/23/2025","149.575","148.330","149.635","147.970","","0.47%"
"06/20/2025","148.870","148.515","149.145","148.450","","0.24%"
"06/19/2025","148.515","148.365","148.590","147.900","","0.12%"
"06/18/2025","148.335","148.330","148.995","148.075","","0.00%"
"06/17/2025","148.330","149.560","149.645","148.250","","-0.78%"
"06/16/2025","149.500","148.965","150.160","148.875","","0.16%"
