"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2025","173.477","173.109","173.877","173.044","","0.17%"
"09/26/2025","173.186","172.417","173.315","172.198","","0.45%"
"09/25/2025","172.411","173.675","174.205","172.133","","-0.72%"
"09/24/2025","173.668","174.688","174.753","173.384","","-0.58%"
"09/23/2025","174.688","174.588","175.159","174.217","","0.06%"
"09/22/2025","174.588","174.175","174.727","173.813","","0.32%"
"09/19/2025","174.033","175.131","175.263","173.929","","-0.63%"
"09/18/2025","175.131","176.054","176.451","174.840","","-0.52%"
"09/17/2025","176.048","176.251","177.366","175.945","","-0.12%"
"09/16/2025","176.251","175.751","176.593","175.647","","0.31%"
"09/15/2025","175.699","175.157","175.990","174.985","","0.30%"
"09/12/2025","175.169","175.376","175.486","174.568","","-0.12%"
"09/11/2025","175.376","174.814","175.512","174.330","","0.32%"
"09/10/2025","174.814","174.775","175.247","174.508","","0.02%"
"09/09/2025","174.782","174.940","175.642","174.633","","-0.09%"
"09/08/2025","174.940","174.433","175.169","174.168","","0.23%"
"09/05/2025","174.543","173.487","175.169","173.403","","0.60%"
"09/04/2025","173.494","173.709","174.132","173.161","","-0.12%"
"09/03/2025","173.709","173.064","173.903","172.183","","0.37%"
"09/02/2025","173.064","174.969","175.085","172.186","","-1.11%"
"09/01/2025","175.008","174.472","175.238","174.351","","0.30%"
"08/29/2025","174.478","174.588","174.666","173.481","","-0.06%"
"08/28/2025","174.588","174.388","174.834","174.120","","0.11%"
"08/27/2025","174.388","174.194","174.459","173.185","","0.13%"
"08/26/2025","174.168","173.845","174.514","173.554","","0.19%"
"08/25/2025","173.839","174.743","174.978","173.703","","-0.53%"
"08/22/2025","174.762","173.277","175.014","172.832","","0.85%"
"08/21/2025","173.290","173.936","174.261","173.186","","-0.33%"
"08/20/2025","173.871","174.233","174.753","173.722","","-0.25%"
"08/19/2025","174.304","174.459","175.017","174.110","","-0.10%"
"08/18/2025","174.472","175.086","175.633","174.403","","-0.36%"
