Date,Price,Open,High,Low,Vol.,Change %
9/29/2025,129.2,129,129.25,129.15,,0.00%
9/26/2025,129.2,129.25,129.425,129.025,,0.00%
9/25/2025,129.2,129.25,129.4,129.075,,0.04%
9/24/2025,129.15,129.2,129.25,129.1,,0.00%
9/23/2025,129.15,129.2,129.45,129.025,,-0.04%
9/22/2025,129.2,129.25,129.45,129.075,,0.00%
9/19/2025,129.2,129.25,129.25,129.15,,0.00%
9/18/2025,129.2,129.2,129.2,129.15,,0.00%
9/17/2025,129.2,129.2,129.2,129.15,,0.04%
9/16/2025,129.15,129.2,129.2,129.15,,-0.04%
9/15/2025,129.2,129.2,129.275,129.075,,0.00%
9/12/2025,129.2,129.2,129.375,129.075,,0.00%
9/11/2025,129.2,129.15,129.25,129.15,,0.00%
9/10/2025,129.2,129.2,129.2,129.15,,0.00%
9/9/2025,129.2,129.15,129.35,128.95,,0.04%
9/8/2025,129.15,129.2,129.2,129.15,,-0.04%
9/5/2025,129.2,129.2,129.2,129.15,,0.04%
9/4/2025,129.15,129.15,129.375,129.075,,-0.04%
9/3/2025,129.2,129.15,129.2,129.15,,0.00%
9/2/2025,129.2,129.2,129.375,129.075,,0.00%
9/1/2025,129.2,129.2,129.375,129.025,,0.00%
8/29/2025,129.2,129.15,129.375,129.025,,0.00%
8/28/2025,129.2,129.2,129.25,129.15,,0.00%
8/27/2025,129.2,129.15,129.35,129.05,,0.00%
8/26/2025,129.2,129.2,129.375,129.075,,0.00%
8/25/2025,129.2,129.2,129.45,129,,0.00%
8/22/2025,129.2,129.2,129.375,129.075,,0.00%
8/21/2025,129.2,129.25,129.375,129.075,,0.00%
8/20/2025,129.2,129.2,129.375,129.075,,0.00%
8/19/2025,129.2,129.2,129.35,129.05,,0.00%
8/18/2025,129.2,129.2,129.475,128.975,,0.00%
8/15/2025,129.2,129.2,129.2,129.15,,0.00%
8/14/2025,129.2,129.2,129.2,129.15,,0.00%
8/13/2025,129.2,129.2,129.325,129.025,,0.00%
8/12/2025,129.2,129.2,129.45,129.15,,0.00%
8/11/2025,129.2,129.2,129.35,129.05,,0.00%
8/8/2025,129.2,129.2,129.275,129.125,,-0.23%
8/7/2025,129.5,129.2,129.5,129.15,,0.23%
8/6/2025,129.2,129.2,129.25,129.175,,0.00%
8/5/2025,129.2,129.2,129.25,129.15,,0.00%
8/4/2025,129.2,129.2,129.25,129.2,,0.00%
8/1/2025,129.2,129.2,129.375,129.075,,0.00%
7/31/2025,129.2,129.2,129.25,129.175,,0.00%
7/30/2025,129.2,129.2,129.25,129.175,,0.00%
7/29/2025,129.2,129.2,129.375,129.075,,0.00%
7/28/2025,129.2,129.2,129.325,129.15,,0.00%
7/25/2025,129.2,129.2,129.4,129.075,,0.00%
7/24/2025,129.2,129.25,129.25,129.175,,0.00%
7/23/2025,129.2,129.2,129.25,129.15,,0.00%
7/22/2025,129.2,129.2,129.375,129.075,,0.00%
7/21/2025,129.2,129.2,129.25,129.15,,0.00%
7/18/2025,129.2,129.2,129.25,129.15,,0.00%
7/17/2025,129.2,129.2,129.4,129,,-0.04%
7/16/2025,129.25,129.2,129.4,129.075,,0.04%
7/15/2025,129.2,129.2,129.25,129.15,,0.00%
7/14/2025,129.2,129.2,129.25,129.15,,0.00%
7/11/2025,129.2,129.2,129.3,129.2,,0.00%
7/10/2025,129.2,129.2,129.425,129.025,,0.00%
7/9/2025,129.2,129.2,129.3,129.2,,0.00%
7/8/2025,129.2,129.2,129.25,129,,0.00%
7/7/2025,129.2,129.25,129.35,129.05,,0.00%
7/4/2025,129.2,129.2,129.25,129.15,,0.00%
7/3/2025,129.2,129.25,129.325,129.125,,0.00%
7/2/2025,129.2,129.2,129.45,129.075,,-0.04%
7/1/2025,129.25,129.2,129.25,129,,0.00%
6/30/2025,129.25,129.25,129.35,129.1,,0.00%
6/27/2025,129.25,129.25,129.4,129.1,,0.00%
6/26/2025,129.25,129.25,129.35,129.05,,0.00%
6/25/2025,129.25,129.25,129.25,129.2,,0.04%
6/24/2025,129.2,129.2,129.25,129.2,,0.00%
6/23/2025,129.2,129.15,129.25,129.15,,0.00%
6/20/2025,129.2,129.05,129.25,129.05,,0.00%
6/19/2025,129.2,129.15,129.35,129.125,,0.00%
6/18/2025,129.2,129.2,129.25,129.15,,0.00%
6/17/2025,129.2,129.2,129.25,129.05,,-0.08%
6/16/2025,129.3,129.2,129.6,129.1,,0.08%
6/13/2025,129.2,129.2,129.25,129.15,,0.00%
6/12/2025,129.2,129.2,129.25,129.15,,0.00%
6/11/2025,129.2,129.2,129.25,129.15,,0.00%
6/10/2025,129.2,129.2,129.35,129.05,,0.00%
6/9/2025,129.2,129.2,129.335,128.985,,-0.04%
